connect-probability	delete-probability	add-probability	n-node	slope	r	p
0.1	0.001	0.01	200	0.062	-0.028	0.7006275
0.1	0.001	0.1	200	0.158	-0.077	0.1111722
0.1	0.001	0.9	200	-5.389	0.404	0.0002704
0.1	0.01	0.001	200	-0.043	0.021	0.7867006
0.1	0.01	0.01	200	0.113	-0.053	0.4624331
0.1	0.01	0.1	200	0.192	-0.091	0.0645928
0.1	0.01	0.9	200	-7.129	0.524	2e-07
0.1	0.1	0.001	200	0.14	-0.075	0.3679656
0.1	0.1	0.01	200	0.194	-0.075	0.3702114
0.1	0.1	0.1	200	-0.127	0.05	0.3784217
0.1	0.1	0.9	200	-6.836	0.481	3e-07
0.1	0.9	0.001	200	1.123	-0.722	4e-07
0.1	0.9	0.01	200	0.774	-0.433	0.0018802
0.1	0.9	0.1	200	-1.069	0.132	0.3176314
0.1	0.9	0.9	200	1.656	-0.084	0.4057633
0.9	0.001	0.001	200	-1.742	0.108	0.1552979
0.9	0.001	0.01	200	-2.558	0.157	0.0333477
0.9	0.001	0.1	200	-7.225	0.312	0.0001289
0.9	0.001	0.9	200	-93.667	0.645	6.9e-06
0.9	0.01	0.001	200	-5.806	0.463	0.0
0.9	0.01	0.01	200	-4.077	0.306	5e-06
0.9	0.01	0.1	200	-8.122	0.373	2e-06
0.9	0.01	0.9	200	-70.73	0.642	5e-07
0.9	0.1	0.001	200	-0.832	0.27	0.0
0.9	0.1	0.01	200	-0.974	0.296	0.0
0.9	0.1	0.1	200	-0.737	0.123	0.0307341
0.9	0.1	0.9	200	-9.531	0.127	0.3071266
0.9	0.9	0.001	200	0.502	-0.624	0.0
0.9	0.9	0.01	200	0.552	-0.577	0.0
0.9	0.9	0.1	200	1.037	-0.39	4.97e-05
0.9	0.9	0.9	200	0.919	-0.042	0.6770481
0.001	0.001	0.001	400	1.881	-0.895	0.0
0.001	0.001	0.01	400	0.708	-0.482	3e-07
0.001	0.001	0.1	400	0.8	-0.485	0.0
0.001	0.001	0.9	400	-1.254	0.182	0.0784916
0.001	0.01	0.001	400	1.901	-0.91	0.0
0.001	0.01	0.01	400	0.664	-0.45	2e-06
0.001	0.01	0.1	400	0.654	-0.381	0.0
0.001	0.01	0.9	400	-1.554	0.232	0.0164212
0.001	0.1	0.001	400	1.98	-0.901	0.0
0.001	0.1	0.01	400	0.644	-0.389	0.000218
0.001	0.1	0.1	400	0.709	-0.377	0.0
0.001	0.1	0.9	400	-0.609	0.09	0.3516296
0.001	0.9	0.001	400	2.551	-0.902	0.005438
0.001	0.9	0.01	400	0.356	-0.149	0.4675885
0.001	0.9	0.1	400	-0.628	0.149	0.1467374
0.001	0.9	0.9	400	1.277	-0.117	0.1243005
0.01	0.001	0.001	400	0.682	-0.493	0.000239
0.01	0.001	0.01	400	0.327	-0.21	0.0284463
0.01	0.001	0.1	400	0.704	-0.398	0.0
0.01	0.001	0.9	400	-1.362	0.211	0.0471124
0.01	0.01	0.001	400	0.758	-0.513	0.0001172
0.01	0.01	0.01	400	0.432	-0.267	0.0048153
0.01	0.01	0.1	400	0.782	-0.429	0.0
0.01	0.01	0.9	400	-1.464	0.23	0.0178823
0.01	0.1	0.001	400	0.872	-0.571	5.21e-05
0.01	0.1	0.01	400	0.625	-0.333	0.0016433
0.01	0.1	0.1	400	0.622	-0.321	0.0
0.01	0.1	0.9	400	-2.006	0.288	0.0017232
0.01	0.9	0.001	400	2.196	-0.895	2.8e-06
0.01	0.9	0.01	400	0.38	-0.127	0.5187542
0.01	0.9	0.1	400	-0.544	0.111	0.2844217
0.01	0.9	0.9	400	1.195	-0.102	0.1810734
0.1	0.001	0.001	400	0.869	-0.232	0.0091865
0.1	0.001	0.01	400	0.608	-0.159	0.0506373
0.1	0.001	0.1	400	0.696	-0.317	0.0
0.1	0.001	0.9	400	-2.431	0.349	0.0004368
0.1	0.01	0.001	400	0.922	-0.244	0.0061315
0.1	0.01	0.01	400	0.405	-0.106	0.1994119
0.1	0.01	0.1	400	0.82	-0.366	0.0
0.1	0.01	0.9	400	-2.218	0.323	0.0003804
0.1	0.1	0.001	400	0.159	-0.051	0.5667709
0.1	0.1	0.01	400	-0.231	0.055	0.5658006
0.1	0.1	0.1	400	0.651	-0.252	2.9e-06
